onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
69.969	12	fingerspelling	3	2	4	36742	106711	n/a
98.474	12	fingerspelling	4	2	5	36742	135216	n/a
127.479	12	fingerspelling	5	2	5	36742	164221	n/a
216.979	12	fingerspelling	8	2	6	36742	253721	n/a
275.472	12	fingerspelling	10	2	7	36742	312214	n/a
306.479	12	fingerspelling	11	2	7	36742	343221	n/a
424.967	12	fingerspelling	15	2	6	36742	461709	n/a
453.972	12	fingerspelling	16	2	4	36742	490714	n/a
9.975	12	letter	1	1	6	36742	n/a	46717
39.964	12	letter	2	1	6	36742	n/a	76706
155.483	12	letter	6	1	5	36742	n/a	192225
185.472	12	letter	7	1	7	36742	n/a	222214
245.016	12	letter	9	1	4	36742	n/a	281758
335.017	12	letter	12	1	4	36742	n/a	371759
364.472	12	letter	13	1	7	36742	n/a	401214
394.494	12	letter	14	1	5	36742	n/a	431236
