onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
9.579	12	fingerspelling	1	2	7	34818	45381	n/a
38.068	12	fingerspelling	3	2	4	34818	103891	n/a
126.083	12	fingerspelling	4	2	6	34818	132880	n/a
156.572	12	fingerspelling	9	2	4	34818	281888	n/a
187.076	12	fingerspelling	10	2	5	34818	310393	n/a
246.57	12	fingerspelling	11	2	6	34818	339882	n/a
334.068	12	fingerspelling	12	2	5	34818	369387	n/a
423.583	12	fingerspelling	16	2	7	34818	486391	n/a
66.007	12	letter	2	1	5	34818	n/a	75286
95.412	12	letter	5	1	7	34818	n/a	163218
216.948	12	letter	6	1	6	34818	n/a	193756
275.941	12	letter	7	1	4	34818	n/a	222811
305.48	12	letter	8	1	7	34818	n/a	252216
362.474	12	letter	13	1	4	34818	n/a	397825
392.412	12	letter	14	1	5	34818	n/a	426281
453.005	12	letter	15	1	6	34818	n/a	455753
