onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
10.475	12	fingerspelling	1	2	5	47507	57982	n/a
39.98	12	fingerspelling	2	2	6	47507	87487	n/a
127.978	12	fingerspelling	5	2	6	47507	175485	n/a
158.484	12	fingerspelling	6	2	7	47507	205991	n/a
188.473	12	fingerspelling	7	2	5	47507	235980	n/a
307.977	12	fingerspelling	11	2	4	47507	355484	n/a
395.475	12	fingerspelling	14	2	7	47507	442982	n/a
453.985	12	fingerspelling	16	2	4	47507	501492	n/a
68.984	12	letter	3	1	6	47507	n/a	116491
98.023	12	letter	4	1	4	47507	n/a	145530
216.493	12	letter	8	1	5	47507	n/a	264000
246.482	12	letter	9	1	7	47507	n/a	293989
277.471	12	letter	10	1	7	47507	n/a	324978
335.031	12	letter	12	1	4	47507	n/a	382538
363.985	12	letter	13	1	6	47507	n/a	411492
424.496	12	letter	15	1	5	47507	n/a	472003
