onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
68.967	12	fingerspelling	3	2	4	41523	110490	n/a
124.974	12	fingerspelling	5	2	4	41523	166497	n/a
182.466	12	fingerspelling	7	2	5	41523	223989	n/a
211.47	12	fingerspelling	8	2	5	41523	252993	n/a
241.475	12	fingerspelling	9	2	7	41523	282998	n/a
332.975	12	fingerspelling	12	2	6	41523	374498	n/a
363.464	12	fingerspelling	13	2	7	41523	404987	n/a
393.969	12	fingerspelling	14	2	6	41523	435492	n/a
10.475	12	letter	1	1	7	41523	n/a	51998
40.013	12	letter	2	1	4	41523	n/a	81536
96.02	12	letter	4	1	4	41523	n/a	137543
152.494	12	letter	6	1	5	41523	n/a	194017
270.963	12	letter	10	1	6	41523	n/a	312486
301.469	12	letter	11	1	7	41523	n/a	342992
422.973	12	letter	15	1	6	41523	n/a	464496
452.478	12	letter	16	1	5	41523	n/a	494001
