onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
71.986	12	fingerspelling	3	2	6	53502	125488	n/a
131.479	12	fingerspelling	5	2	7	53502	184981	n/a
191.472	12	fingerspelling	7	2	5	53502	244974	n/a
221.477	12	fingerspelling	8	2	7	53502	274979	n/a
282.488	12	fingerspelling	10	2	5	53502	335990	n/a
339.98	12	fingerspelling	12	2	4	53502	393482	n/a
367.983	12	fingerspelling	13	2	4	53502	421485	n/a
396.988	12	fingerspelling	14	2	6	53502	450490	n/a
10.475	12	letter	1	1	7	53502	n/a	63977
40.98	12	letter	2	1	6	53502	n/a	94482
100.49	12	letter	4	1	5	53502	n/a	153992
160.984	12	letter	6	1	6	53502	n/a	214486
251.483	12	letter	9	1	7	53502	n/a	304985
310.492	12	letter	11	1	5	53502	n/a	363994
425.025	12	letter	15	1	4	53502	n/a	478527
453.028	12	letter	16	1	4	53502	n/a	506530
