onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
40.467	12	fingerspelling	2	2	5	102377	142844	n/a
126.965	12	fingerspelling	5	2	6	102377	229342	n/a
184.476	12	fingerspelling	7	2	5	102377	286853	n/a
212.964	12	fingerspelling	8	2	4	102377	315341	n/a
302.462	12	fingerspelling	11	2	7	102377	404839	n/a
362.971	12	fingerspelling	13	2	6	102377	465348	n/a
393.475	12	fingerspelling	14	2	7	102377	495852	n/a
422.963	12	fingerspelling	15	2	4	102377	525340	n/a
9.962	12	letter	1	1	6	102377	n/a	112339
68.489	12	letter	3	1	5	102377	n/a	170866
97.011	12	letter	4	1	4	102377	n/a	199388
155.021	12	letter	6	1	4	102377	n/a	257398
241.469	12	letter	9	1	7	102377	n/a	343846
271.491	12	letter	10	1	5	102377	n/a	373868
331.966	12	letter	12	1	6	102377	n/a	434343
451.468	12	letter	16	1	7	102377	n/a	553845
