onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
10.975	12	fingerspelling	1	2	6	79819	90794	n/a
41.464	12	fingerspelling	2	2	7	79819	121283	n/a
131.964	12	fingerspelling	5	2	6	79819	211783	n/a
161.469	12	fingerspelling	6	2	5	79819	241288	n/a
279.473	12	fingerspelling	10	2	7	79819	359292	n/a
309.462	12	fingerspelling	11	2	5	79819	389281	n/a
368.972	12	fingerspelling	13	2	4	79819	448791	n/a
425.964	12	fingerspelling	15	2	4	79819	505783	n/a
71.47	12	letter	3	1	7	79819	n/a	151289
101.475	12	letter	4	1	5	79819	n/a	181294
189.973	12	letter	7	1	6	79819	n/a	269792
219.012	12	letter	8	1	4	79819	n/a	298831
247.966	12	letter	9	1	6	79819	n/a	327785
338.466	12	letter	12	1	7	79819	n/a	418285
396.476	12	letter	14	1	5	79819	n/a	476295
453.017	12	letter	16	1	4	79819	n/a	532836
