onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
68.967	12	fingerspelling	3	2	4	60406	129373	n/a
156.965	12	fingerspelling	6	2	6	60406	217371	n/a
186.47	12	fingerspelling	7	2	5	60406	246876	n/a
216.475	12	fingerspelling	8	2	7	60406	276881	n/a
275.468	12	fingerspelling	10	2	7	60406	335874	n/a
364.967	12	fingerspelling	13	2	6	60406	425373	n/a
394.472	12	fingerspelling	14	2	5	60406	454878	n/a
453.966	12	fingerspelling	16	2	4	60406	514372	n/a
9.974	12	letter	1	1	6	60406	n/a	70380
39.479	12	letter	2	1	5	60406	n/a	99885
96.487	12	letter	4	1	5	60406	n/a	156893
125.975	12	letter	5	1	6	60406	n/a	186381
245.013	12	letter	9	1	4	60406	n/a	305419
304.023	12	letter	11	1	4	60406	n/a	364429
333.477	12	letter	12	1	7	60406	n/a	393883
423.477	12	letter	15	1	7	60406	n/a	483883
