onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
39.481	12	fingerspelling	2	2	7	458803	498284	n/a
100.478	12	fingerspelling	4	2	7	458803	559281	n/a
130.476	12	fingerspelling	5	2	5	458803	589279	n/a
159.974	12	fingerspelling	6	2	6	458803	618777	n/a
219.988	12	fingerspelling	8	2	6	458803	678791	n/a
279.984	12	fingerspelling	10	2	4	458803	738787	n/a
308.482	12	fingerspelling	11	2	5	458803	767285	n/a
453.974	12	fingerspelling	16	2	4	458803	912777	n/a
9.033	12	letter	1	1	4	458803	n/a	467836
68.98	12	letter	3	1	6	458803	n/a	527783
188.973	12	letter	7	1	6	458803	n/a	647776
249.486	12	letter	9	1	7	458803	n/a	708289
336.031	12	letter	12	1	4	458803	n/a	794834
364.496	12	letter	13	1	5	458803	n/a	823299
393.494	12	letter	14	1	5	458803	n/a	852297
423.476	12	letter	15	1	7	458803	n/a	882279
