onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
10.974	12	fingerspelling	1	2	6	40794	51768	n/a
40.479	12	fingerspelling	2	2	5	40794	81273	n/a
99.472	12	fingerspelling	4	2	7	40794	140266	n/a
159.982	12	fingerspelling	6	2	4	40794	200776	n/a
188.486	12	fingerspelling	7	2	5	40794	229280	n/a
216.973	12	fingerspelling	8	2	4	40794	257767	n/a
274.982	12	fingerspelling	10	2	6	40794	315776	n/a
333.474	12	fingerspelling	12	2	7	40794	374268	n/a
68.499	12	letter	3	1	5	40794	n/a	109293
129.477	12	letter	5	1	7	40794	n/a	170271
244.493	12	letter	9	1	5	40794	n/a	285287
303.019	12	letter	11	1	4	40794	n/a	343813
363.479	12	letter	13	1	7	40794	n/a	404273
393.985	12	letter	14	1	6	40794	n/a	434779
423.973	12	letter	15	1	6	40794	n/a	464767
453.028	12	letter	16	1	4	40794	n/a	493822
