onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
71.486	12	fingerspelling	3	2	5	36223	107709	NULL
101.491	12	fingerspelling	4	2	7	36223	137714	NULL
186.988	12	fingerspelling	7	2	4	36223	223211	NULL
244.98	12	fingerspelling	9	2	6	36223	281203	NULL
274.485	12	fingerspelling	10	2	5	36223	310708	NULL
304.491	12	fingerspelling	11	2	7	36223	340714	NULL
393.99	12	fingerspelling	14	2	6	36223	430213	NULL
422.978	12	fingerspelling	15	2	4	36223	459201	NULL
10.491	12	letter	1	1	7	36223	NULL	46714
40.98	12	letter	2	1	6	36223	NULL	77203
130.029	12	letter	5	1	4	36223	NULL	166252
158.033	12	letter	6	1	4	36223	NULL	194256
214.491	12	letter	8	1	5	36223	NULL	250714
333.496	12	letter	12	1	5	36223	NULL	369719
362.984	12	letter	13	1	6	36223	NULL	399207
451.482	12	letter	16	1	7	36223	NULL	487705
