onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
71.47	12	fingerspelling	3	2	7	45918	117388	n/a
131.981	12	fingerspelling	5	2	6	45918	177899	n/a
189.974	12	fingerspelling	7	2	4	45918	235892	n/a
246.465	12	fingerspelling	9	2	5	45918	292383	n/a
305.976	12	fingerspelling	11	2	4	45918	351894	n/a
364.469	12	fingerspelling	13	2	5	45918	410387	n/a
393.974	12	fingerspelling	14	2	6	45918	439892	n/a
424.48	12	fingerspelling	15	2	7	45918	470398	n/a
9.491	12	letter	1	1	5	45918	n/a	55409
39.479	12	letter	2	1	7	45918	n/a	85397
100.975	12	letter	4	1	6	45918	n/a	146893
160.485	12	letter	6	1	5	45918	n/a	206403
217.027	12	letter	8	1	4	45918	n/a	262945
275.47	12	letter	10	1	7	45918	n/a	321388
333.98	12	letter	12	1	6	45918	n/a	379898
453.017	12	letter	16	1	4	45918	n/a	498935
