onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
9.979	12	fingerspelling	1	2	4	76173	86152	n/a
128.481	12	fingerspelling	5	2	7	76173	204654	n/a
189.989	12	fingerspelling	7	2	6	76173	266162	n/a
219.477	12	fingerspelling	8	2	5	76173	295650	n/a
276.987	12	fingerspelling	10	2	6	76173	353160	n/a
334.481	12	fingerspelling	12	2	5	76173	410654	n/a
364.485	12	fingerspelling	13	2	7	76173	440658	n/a
393.99	12	fingerspelling	14	2	4	76173	470163	n/a
37.984	12	letter	2	1	6	76173	n/a	114157
67.489	12	letter	3	1	5	76173	n/a	143662
96.977	12	letter	4	1	6	76173	n/a	173150
158.485	12	letter	6	1	7	76173	n/a	234658
247.033	12	letter	9	1	4	76173	n/a	323206
305.026	12	letter	11	1	4	76173	n/a	381199
422.478	12	letter	15	1	7	76173	n/a	498651
452.5	12	letter	16	1	5	76173	n/a	528673
