onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
42.483	12	fingerspelling	2	2	7	51496	93979	n/a
72.987	12	fingerspelling	3	2	6	51496	124483	n/a
162.484	12	fingerspelling	6	2	7	51496	213980	n/a
222.977	12	fingerspelling	8	2	4	51496	274473	n/a
251.982	12	fingerspelling	9	2	6	51496	303478	n/a
310.475	12	fingerspelling	11	2	5	51496	361971	n/a
339.479	12	fingerspelling	12	2	5	51496	390975	n/a
397.972	12	fingerspelling	14	2	4	51496	449468	n/a
10.479	12	letter	1	1	7	51496	n/a	61975
101.976	12	letter	4	1	6	51496	n/a	153472
131.497	12	letter	5	1	5	51496	n/a	182993
192.472	12	letter	7	1	7	51496	n/a	243968
280.487	12	letter	10	1	5	51496	n/a	331983
367.985	12	letter	13	1	6	51496	n/a	419481
425.028	12	letter	15	1	4	51496	n/a	476524
453.033	12	letter	16	1	4	51496	n/a	504529
