onset	duration	trial_type	Trial	LetterFinger	Number	TextDisplay1.OnsetTime	TextDisplay2.OnsetTime	Interval2.OnsetTime
10.979	12	fingerspelling	1	2	6	71544	82523	n/a
41.484	12	fingerspelling	2	2	7	71544	113028	n/a
71.488	12	fingerspelling	3	2	5	71544	143032	n/a
132.48	12	fingerspelling	5	2	7	71544	204024	n/a
161.985	12	fingerspelling	6	2	4	71544	233529	n/a
277.988	12	fingerspelling	10	2	4	71544	349532	n/a
363.486	12	fingerspelling	13	2	5	71544	435030	n/a
392.991	12	fingerspelling	14	2	6	71544	464535	n/a
100.476	12	letter	4	1	7	71544	n/a	172020
190.49	12	letter	7	1	7	71544	n/a	262034
220.494	12	letter	8	1	5	71544	n/a	292038
249.033	12	letter	9	1	4	71544	n/a	320577
305.027	12	letter	11	1	4	71544	n/a	376571
333.499	12	letter	12	1	5	71544	n/a	405043
421.979	12	letter	15	1	6	71544	n/a	493523
451.984	12	letter	16	1	6	71544	n/a	523528
